价格,面积,室,卫,所在楼层,总楼层,位置1,位置2,小区,地铁站名,地铁距离
2650.0,15.0,3,1,4,21,丰台区,七里庄,望园东里,"9号线,14号线西段七里庄站",250
1850.0,10.0,2,1,6,6,通州区,通运门,中仓小区,6号线通运门站,250
6140.0,35.0,1,1,1,6,朝阳区,红庙,光华路,"1号线,14号线东段大望路站",550
4840.0,60.0,1,1,12,20,朝阳区,管庄,杨闸新村,八通线管庄站,650
1770.0,10.0,4,1,4,6,顺义区,石门,万科四季花城,15号线石门站,450
6340.0,50.0,1,1,4,6,朝阳区,安华桥,德胜门外大街1号院,"8号线,12号线安华桥站",950
7300.0,38.0,1,1,6,12,朝阳区,青年路,小悦城中心,6号线青年路站,1350
1110.0,22.0,5,1,5,5,房山区,阎村,绿城百合公寓桂雨苑,燕房线阎村站,1000
2180.0,10.0,3,1,3,6,朝阳区,黄渠,常营民族家园CDF区,6号线黄渠站,750
5010.0,48.0,1,1,1,6,朝阳区,黄渠,荟康苑,6号线黄渠站,800
1800.0,9.0,3,1,1,7,通州区,通州北关,永顺东里2号院,6号线通州北关站,800
2530.0,15.0,4,1,1,20,朝阳区,褡裢坡,福盈家园2号院,6号线褡裢坡站,550
5070.0,51.0,1,1,1,23,朝阳区,传媒大学,北花园小区,八通线传媒大学站,600
2290.0,15.0,3,1,6,6,朝阳区,常营,连心园西区,6号线常营站,800
1930.0,11.0,3,1,2,6,通州区,果园,翠屏北里东区,八通线果园站,400
1930.0,14.0,3,1,4,6,通州区,果园,北机家属院,八通线果园站,900
1710.0,10.0,3,1,6,30,通州区,土桥,华远铭悦,八通线土桥站,950
1660.0,9.0,3,1,19,29,通州区,通运门,京贸国际城东区,6号线通运门站,2400
2150.0,24.0,7,2,6,6,昌平区,天通苑东,天通苑东二区,17号线天通苑东站,650
1880.0,9.0,3,1,3,7,通州区,果园,达富苑,八通线果园站,250
2320.0,13.0,5,1,3,6,大兴区,亦庄桥,星岛假日,亦庄线亦庄桥站,200
2080.0,8.0,3,1,15,25,丰台区,樊羊路,花香东苑,房山线樊羊路站,450
1810.0,16.0,4,1,4,6,通州区,土桥,小街之春,八通线土桥站,550
2060.0,10.0,3,1,26,31,朝阳区,平房村,金隅汇景苑,"14号线东段,平谷线东风北桥站",4500
5370.0,48.0,1,1,1,16,朝阳区,传媒大学,北花园小区,八通线传媒大学站,600
3180.0,23.0,4,1,24,25,朝阳区,四惠,力源里,"1号线,八通线四惠站",250
2450.0,9.0,3,1,5,6,朝阳区,四惠东,康家园,"1号线,八通线四惠东站",300
2160.0,13.0,4,1,1,18,大兴区,瀛海,南海家园二里,亦庄线荣昌东街站,3500
2410.0,16.0,3,1,1,6,朝阳区,常营,连心园西区,6号线常营站,800
1460.0,15.0,4,1,5,6,顺义区,俸伯,滨河小区,15号线俸伯站,1600
2200.0,34.0,5,1,6,7,昌平区,天通苑东,天通苑东三区,5号线天通苑南站,2250
1710.0,9.0,2,1,4,6,通州区,梨园,葛布店东里,八通线梨园站,700
1170.0,11.0,3,1,5,8,房山区,星城,东亚朗悦居,燕房线星城站,50
2070.0,11.0,4,1,5,28,朝阳区,小红门,鸿博家园二期F区,亦庄线小红门站,550
4360.0,60.0,1,1,5,6,通州区,果园,西总屯,八通线果园站,550
9120.0,82.0,1,1,11,22,朝阳区,望京,望京西园三区,"14号线东段,15号线望京站",600
1850.0,11.0,2,1,2,6,通州区,临河里,梨园东里,八通线临河里站,1050
2380.0,20.0,4,1,4,6,通州区,通州北关,西潞苑小区,6号线通州北关站,1950
3820.0,19.0,4,1,22,22,朝阳区,望京,望京西园三区,"14号线东段,15号线望京站",600
1900.0,11.0,5,1,23,30,通州区,九棵树,玉兰湾,八通线梨园站,900
1540.0,8.0,3,1,2,6,通州区,万盛东,群芳三园,7号线万盛东站,1100
1940.0,8.0,4,1,4,28,朝阳区,平房村,金隅汇景苑,"14号线东段,平谷线东风北桥站",4500
1760.0,9.0,2,1,16,23,通州区,土桥,华远铭悦,八通线土桥站,950
5930.0,41.0,1,1,5,15,西城区,积水潭,五月华庭,"2号线,19号线积水潭站",500
1910.0,13.0,3,1,3,11,通州区,北运河西,阳光好东东,6号线北运河西站,1150
3900.0,45.0,1,1,1,27,通州区,次渠南,次渠家园东里8区,亦庄线次渠南站,700
3820.0,21.0,2,1,22,24,昌平区,天通苑,天通苑西三区,5号线天通苑站,350
2340.0,11.0,3,1,1,9,朝阳区,星火,姚家园西里2号院,"3号线,20号线星火站",400
3240.0,15.0,2,1,3,8,朝阳区,星火,金隅凤麟洲,"3号线,20号线星火站",550
3080.0,9.0,2,1,1,5,朝阳区,金台夕照,呼家楼新街大院,10号线金台夕照站,600
1870.0,9.0,2,1,22,26,通州区,土桥,华远铭悦,八通线土桥站,950
1600.0,13.0,3,1,6,6,通州区,通州北关,潞苑嘉园,6号线通州北关站,2050
1420.0,12.0,5,2,6,7,通州区,通运门,新潮嘉园二期,6号线通运门站,4150
2450.0,15.0,3,1,1,6,朝阳区,草房,连心园东区,6号线草房站,500
3010.0,11.0,3,1,1,32,朝阳区,九龙山,易构空间,"7号线,14号线东段九龙山站",700
2370.0,8.0,3,1,2,16,丰台区,宋家庄,方泽园,"5号线,10号线,亦庄线宋家庄站",1050
5270.0,47.0,1,1,3,6,朝阳区,北工大西门,双龙南里,14号线东段北工大西门站,450
1350.0,13.0,4,1,8,15,房山区,良乡大学城西,瑞雪春堂,房山线良乡大学城西站,900
2390.0,8.0,3,1,17,24,朝阳区,十里堡,晨光家园,6号线十里堡站,550
1970.0,10.0,3,1,5,13,朝阳区,东坝中街,北京城建福润四季,3号线东坝中街站,2800
2210.0,10.0,4,1,2,18,朝阳区,草房,保利嘉园1号院,6号线草房站,950
2030.0,13.0,4,1,9,13,丰台区,和义,世界之花,亦庄线肖村站,2800
1570.0,10.0,4,1,4,6,大兴区,黄村西大街,观音寺小区,4号线大兴线黄村西大街站,1500
2330.0,9.0,3,1,12,16,丰台区,宋家庄,方泽园,"5号线,10号线,亦庄线宋家庄站",1050
7220.0,78.0,2,1,16,28,朝阳区,北苑路北,恒大名都,5号线北苑路北站,1200
2200.0,9.0,3,1,20,22,丰台区,樊羊路,花香东苑,房山线樊羊路站,450
1960.0,13.0,4,1,6,6,通州区,通州北苑,新华西街55号院,八通线通州北苑站,900
1460.0,10.0,3,1,5,6,通州区,通州北关,王家场,6号线通州北关站,2000
2670.0,10.0,2,1,1,5,朝阳区,传媒大学,定福庄西街,八通线传媒大学站,350
2310.0,13.0,3,1,1,11,朝阳区,孙河,康营小区17区,15号线孙河站,1450
4200.0,54.0,1,1,12,19,通州区,物资学院路,金地格林格林,6号线物资学院路站,2950
1670.0,13.0,3,1,1,15,通州区,通州北关,西潞苑小区,6号线通州北关站,1950
3550.0,14.0,5,1,11,27,朝阳区,三元桥,国际港,"10号线,12号线,机场线三元桥站",300
2240.0,18.0,4,1,4,7,昌平区,天通苑东,天通苑东二区,17号线天通苑东站,650
1640.0,13.0,4,1,4,6,昌平区,天通苑北,蓬莱公寓东区,5号线天通苑北站,4550
2030.0,12.0,4,1,1,18,通州区,次渠南,次渠南里,亦庄线次渠南站,700
1800.0,19.0,5,2,3,6,通州区,果园,新华联家园南区,八通线果园站,650
3640.0,49.0,1,1,17,21,丰台区,张郭庄,红山郡,14号线西段张郭庄站,1750
6960.0,40.0,1,1,5,6,朝阳区,潘家园,潘家园小区,10号线潘家园站,1000
1620.0,8.0,3,1,4,6,通州区,果园,后南仓,八通线果园站,1050
6590.0,42.0,1,1,16,18,西城区,木樨地,木樨地北里,1号线木樨地站,300
2860.0,10.0,3,1,7,12,朝阳区,光熙门,西坝河中里,13号线光熙门站,900
2220.0,21.0,2,1,1,6,通州区,通州北苑,北苑15号院,八通线通州北苑站,700
1870.0,9.0,2,1,4,6,朝阳区,八里桥,温泉北里,八通线八里桥站,1800
1640.0,9.0,3,1,4,6,通州区,通运门,河畔丽景,6号线通运门站,1900
2010.0,15.0,8,2,6,6,昌平区,天通苑东,天通苑东二区,17号线天通苑东站,650
2900.0,9.0,2,1,3,4,朝阳区,红庙,延静里中街,"6号线,14号线东段金台路站",800
2070.0,8.0,3,1,26,27,丰台区,樊羊路,花香东苑,房山线樊羊路站,450
6410.0,47.0,1,1,6,6,海淀区,花园桥,岭南路26号院,6号线花园桥站,700
2430.0,11.0,4,1,4,12,丰台区,方庄,芳星园三区,14号线东段方庄站,650
1600.0,10.0,3,1,1,11,昌平区,昌平东关,随园,昌平线昌平东关站,1000
2550.0,9.0,4,1,8,14,朝阳区,百子湾,沿海赛洛城,7号线百子湾站,650
1760.0,5.0,4,1,5,29,朝阳区,北岗子,恒大华府,"12号线,平谷线北岗子站",700
4030.0,50.0,1,1,9,24,通州区,通州北苑,鼎晟国际,八通线通州北苑站,1050
6260.0,43.0,1,1,1,6,海淀区,北沙滩,二里庄小区,15号线北沙滩站,650
2780.0,9.0,2,1,4,6,朝阳区,平乐园,平乐园,14号线东段平乐园站,450
1850.0,14.0,2,1,1,6,通州区,土桥,小街之春,八通线土桥站,550
2500.0,11.0,5,1,17,31,朝阳区,传媒大学,珠江绿洲家园,八通线传媒大学站,550
1840.0,12.0,2,1,4,6,通州区,梨园,云景西里,八通线梨园站,750
2320.0,11.0,4,1,2,5,昌平区,回龙观东大街,龙锦苑东五区,8号线回龙观东大街站,1050
2600.0,7.0,3,1,4,6,朝阳区,金台路,秀水园,"6号线,14号线东段金台路站",450
1580.0,11.0,3,1,2,6,通州区,万盛东,群芳三园,7号线万盛东站,1100
5280.0,69.0,1,1,14,14,丰台区,宋家庄,日新家园,"5号线,10号线,亦庄线宋家庄站",650
2550.0,12.0,5,1,17,31,朝阳区,传媒大学,珠江绿洲家园,八通线传媒大学站,550
2220.0,9.0,4,1,1,21,丰台区,首经贸,首经贸中街1号院,"10号线,房山线首经贸站",450
2210.0,11.0,4,1,5,21,石景山区,八宝山,重聚园,1号线八宝山站,1600
6530.0,36.0,1,1,4,5,海淀区,魏公村,民族大学家属院,4号线大兴线魏公村站,1000
1930.0,8.0,4,1,10,24,丰台区,樊羊路,花香东苑,房山线樊羊路站,450
1410.0,12.0,3,1,6,6,房山区,良乡大学城西,鸿顺园西区,房山线良乡大学城西站,350
5980.0,41.0,1,1,4,6,海淀区,军事博物馆,乔建里,"1号线,9号线军事博物馆站",650
2180.0,11.0,4,1,6,6,通州区,物资学院路,新建村小区,6号线物资学院路站,550
1650.0,10.0,3,1,3,6,通州区,土桥,小街之春,八通线土桥站,550
2570.0,12.0,3,1,1,18,朝阳区,十里堡,石佛营东里,6号线十里堡站,1400
1540.0,8.0,4,1,6,6,顺义区,石门,前进花园石门苑,15号线石门站,800
1620.0,10.0,3,1,1,10,昌平区,南邵,兴昌佳苑,昌平线南邵站,1000
2470.0,11.0,3,1,4,14,朝阳区,褡裢坡,美然动力A2区,6号线褡裢坡站,350
1980.0,13.0,4,1,6,6,朝阳区,小红门,燕归宁馨园,亦庄线小红门站,1200
2140.0,18.0,2,1,6,6,通州区,九棵树,西营前街,6号线北运河西站,1900
1670.0,7.0,4,1,19,23,通州区,梨园,园景东区,八通线梨园站,150
2830.0,10.0,3,1,21,28,朝阳区,劲松,华腾园,10号线劲松站,450
3940.0,38.0,1,1,12,18,丰台区,和义,世界之花,亦庄线肖村站,2800
8150.0,53.0,2,1,3,5,朝阳区,惠新西街南口,惠新里,"5号线,10号线惠新西街南口站",500
1730.0,8.0,2,1,1,6,通州区,梨园,玉桥南里,八通线梨园站,1350
2370.0,17.0,3,1,1,6,朝阳区,常营,管庄东里,6号线常营站,700
2740.0,15.0,2,1,3,4,朝阳区,常营,连心园西区,6号线常营站,800
2460.0,12.0,5,1,5,10,昌平区,朱辛庄,领秀慧谷C区,"昌平线,8号线朱辛庄站",900
1960.0,12.0,3,1,3,6,通州区,北运河西,BOBO自由城,6号线北运河西站,800
2820.0,12.0,3,1,28,28,朝阳区,东风北桥,梵谷水郡,"14号线东段,平谷线东风北桥站",1800
6240.0,49.0,1,1,3,6,朝阳区,潘家园,华威北里,10号线潘家园站,350
3310.0,22.0,4,2,1,12,昌平区,天通苑,天通苑北一区,5号线天通苑站,350
3440.0,19.0,2,1,4,6,朝阳区,劲松,农光东里,10号线劲松站,700
2060.0,9.0,4,1,1,6,朝阳区,黄渠,常营民族家园CDF区,6号线黄渠站,750
1230.0,16.0,4,1,6,6,房山区,星城,燕化星城健德一里,燕房线星城站,450
4520.0,60.0,1,1,12,20,大兴区,西红门,鸿坤理想城大满贯,4号线大兴线西红门站,1250
2290.0,11.0,3,1,4,6,通州区,物资学院路,新建村小区,6号线物资学院路站,550
2450.0,9.0,3,1,5,23,丰台区,角门西,明日嘉园,"10号线,4号线大兴线角门西站",450
5960.0,52.0,1,1,18,21,朝阳区,青年路,朝阳无限芳菁苑,6号线青年路站,750
1800.0,10.0,3,1,4,15,朝阳区,东坝中街,金泽家园B区,6号线褡裢坡站,3700
